--------[before begin]--------
CPU(0x00): vcpu->rsp=0x000000001fb0fff8
CPU(0x00): vcpu->sipi_page_vaddr=0x0000000000000000
CPU(0x00): vcpu->id=0x00000000
CPU(0x00): vcpu->idx=0x00000000
CPU(0x00): vcpu->sipivector=0x00000000
CPU(0x00): vcpu->sipireceived=0x00000000
CPU(0x00): vcpu->cpu_vendor=0x000000ab
CPU(0x00): vcpu->isbsp=0x00000001
CPU(0x00): vcpu->quiesced=0x00000000
CPU(0x00): vcpu->hsave_vaddr_ptr=0x0000000000000000
CPU(0x00): vcpu->vmcb_vaddr_ptr=0x0000000000000000
CPU(0x00): vcpu->npt_vaddr_ptr=0x0000000000000000
CPU(0x00): vcpu->npt_vaddr_pdts=0x0000000000000000
CPU(0x00): vcpu->npt_asid=0x00000000
CPU(0x00): vcpu->npt_vaddr_pts=0x0000000000000000
CPU(0x00): vcpu->svm_vaddr_iobitmap=0x0000000000000000
CPU(0x00): vcpu->vmx_msrs[0]=0x00da04000000000f
CPU(0x00): vcpu->vmx_msrs[1]=0x0000007f00000016
CPU(0x00): vcpu->vmx_msrs[2]=0xfff9fffe0401e172
CPU(0x00): vcpu->vmx_msrs[3]=0x007fffff00036dff
CPU(0x00): vcpu->vmx_msrs[4]=0x0000ffff000011ff
CPU(0x00): vcpu->vmx_msrs[5]=0x00000000000401e7
CPU(0x00): vcpu->vmx_msrs[6]=0x0000000080000021
CPU(0x00): vcpu->vmx_msrs[7]=0x00000000ffffffff
CPU(0x00): vcpu->vmx_msrs[8]=0x0000000000002000
CPU(0x00): vcpu->vmx_msrs[9]=0x00000000000267ff
CPU(0x00): vcpu->vmx_msrs[a]=0x000000000000002a
CPU(0x00): vcpu->vmx_msrs[b]=0x000000ff00000000
CPU(0x00): vcpu->vmx_msrs[c]=0x00000f0106114141
CPU(0x00): vcpu->vmx_msrs[d]=0x0000007f00000016
CPU(0x00): vcpu->vmx_msrs[e]=0xfff9fffe04006172
CPU(0x00): vcpu->vmx_msrs[f]=0x007fffff00036dfb
CPU(0x00): vcpu->vmx_msrs[10]=0x0000ffff000011fb
CPU(0x00): vcpu->vmx_msrs[11]=0x0000000000000000
CPU(0x00): vcpu->vmx_pinbased_ctls=0x0000007f00000016
CPU(0x00): vcpu->vmx_procbased_ctls=0xfff9fffe04006172
CPU(0x00): vcpu->vmx_exit_ctls=0x007fffff00036dfb
CPU(0x00): vcpu->vmx_entry_ctls=0x0000ffff000011fb
CPU(0x00): vcpu->vmx_vmxonregion_vaddr=0x000000001efc4000
CPU(0x00): vcpu->vmx_vmcs_vaddr=0x000000001efbc000
CPU(0x00): vcpu->vmx_vaddr_iobitmap=0x000000001efba000
CPU(0x00): vcpu->vmx_vaddr_msr_area_host=0x000000001efaa000
CPU(0x00): vcpu->vmx_vaddr_msr_area_guest=0x000000001ef9a000
CPU(0x00): vcpu->vmx_vaddr_msrbitmaps=0x000000001ef92000
CPU(0x00): vcpu->vmx_vaddr_ept_pml4_table=0x00000000196cf000
CPU(0x00): vcpu->vmx_vaddr_ept_pdp_table=0x00000000196c7000
CPU(0x00): vcpu->vmx_vaddr_ept_pd_tables=0x000000001969f000
CPU(0x00): vcpu->vmx_vaddr_ept_p_tables=0x000000001469f000
CPU(0x00): vcpu->vmx_ept_defaulttype=0x00000000
CPU(0x00): vcpu->vmx_ept_mtrr_enable=0x00000001
CPU(0x00): vcpu->vmx_ept_fixmtrr_enable=0x00000001
CPU(0x00): vcpu->vmx_ept_paddrmask=0x0000000ffffff000
CPU(0x00): vcpu->vmx_guestmtrrmsrs.def_type=0x0000000000000c00
CPU(0x00): vcpu->vmx_guestmtrrmsrs.fix_mtrrs[0]=0x0606060606060606
CPU(0x00): vcpu->vmx_guestmtrrmsrs.fix_mtrrs[1]=0x0606060606060606
CPU(0x00): vcpu->vmx_guestmtrrmsrs.fix_mtrrs[2]=0x0000000000000000
CPU(0x00): vcpu->vmx_guestmtrrmsrs.fix_mtrrs[3]=0x0505050505050505
CPU(0x00): vcpu->vmx_guestmtrrmsrs.fix_mtrrs[4]=0x0505050505050505
CPU(0x00): vcpu->vmx_guestmtrrmsrs.fix_mtrrs[5]=0x0505050505050505
CPU(0x00): vcpu->vmx_guestmtrrmsrs.fix_mtrrs[6]=0x0505050505050505
CPU(0x00): vcpu->vmx_guestmtrrmsrs.fix_mtrrs[7]=0x0505050505050505
CPU(0x00): vcpu->vmx_guestmtrrmsrs.fix_mtrrs[8]=0x0505050505050505
CPU(0x00): vcpu->vmx_guestmtrrmsrs.fix_mtrrs[9]=0x0505050505050505
CPU(0x00): vcpu->vmx_guestmtrrmsrs.fix_mtrrs[a]=0x0505050505050505
CPU(0x00): vcpu->vmx_guestmtrrmsrs.var_count=0x00000008
CPU(0x00): vcpu->vmx_guest_unrestricted=0x00000001
CPU(0x00): vcpu->vmcs.control_vpid=0x0001
CPU(0x00): vcpu->vmcs.control_VMX_pin_based=0x0000003e
CPU(0x00): vcpu->vmcs.control_VMX_cpu_based=0x86006172
CPU(0x00): vcpu->vmcs.control_VMX_seccpu_based=0x000000aa
CPU(0x00): vcpu->vmcs.control_exception_bitmap=0x00000000
CPU(0x00): vcpu->vmcs.control_pagefault_errorcode_mask=0x00000000
CPU(0x00): vcpu->vmcs.control_pagefault_errorcode_match=0x00000000
CPU(0x00): vcpu->vmcs.control_CR3_target_count=0x00000000
CPU(0x00): vcpu->vmcs.control_VM_exit_controls=0x00036ffb
CPU(0x00): vcpu->vmcs.control_VM_exit_MSR_store_count=0x00000003
CPU(0x00): vcpu->vmcs.control_VM_exit_MSR_load_count=0x00000003
CPU(0x00): vcpu->vmcs.control_VM_entry_controls=0x000013fb
CPU(0x00): vcpu->vmcs.control_VM_entry_MSR_load_count=0x00000003
CPU(0x00): vcpu->vmcs.control_VM_entry_interruption_information=0x00000202
CPU(0x00): vcpu->vmcs.control_VM_entry_exception_errorcode=0x00000000
CPU(0x00): vcpu->vmcs.control_VM_entry_instruction_length=0x00000000
CPU(0x00): vcpu->vmcs.control_Task_PRivilege_Threshold=0x00000000
CPU(0x00): vcpu->vmcs.control_CR0_mask=0x0000000060000020
CPU(0x00): vcpu->vmcs.control_CR4_mask=0x0000000000002000
CPU(0x00): vcpu->vmcs.control_CR0_shadow=0x0000000080050033
CPU(0x00): vcpu->vmcs.control_CR4_shadow=0x00000000000226f0
CPU(0x00): vcpu->vmcs.control_IO_BitmapA_address=0x000000001efba000
CPU(0x00): vcpu->vmcs.control_IO_BitmapB_address=0x000000001efbb000
CPU(0x00): vcpu->vmcs.control_MSR_Bitmaps_address=0x0000000000000000
CPU(0x00): vcpu->vmcs.control_VM_exit_MSR_store_address=0x000000001ef9a000
CPU(0x00): vcpu->vmcs.control_VM_exit_MSR_load_address=0x000000001efaa000
CPU(0x00): vcpu->vmcs.control_VM_entry_MSR_load_address=0x000000001ef9a000
CPU(0x00): vcpu->vmcs.control_TSC_offset=0x0000000000000000
CPU(0x00): vcpu->vmcs.control_virtual_APIC_page_address=0x0000000000000000
CPU(0x00): vcpu->vmcs.control_EPT_pointer=0x00000000196cf01e
CPU(0x00): vcpu->vmcs.host_CR0=0x0000000080000033
CPU(0x00): vcpu->vmcs.host_CR3=0x000000001faff000
CPU(0x00): vcpu->vmcs.host_CR4=0x0000000000002668
CPU(0x00): vcpu->vmcs.host_FS_base=0x0000000000000000
CPU(0x00): vcpu->vmcs.host_GS_base=0x0000000000000000
CPU(0x00): vcpu->vmcs.host_TR_base=0x0000000010251ba0
CPU(0x00): vcpu->vmcs.host_GDTR_base=0x0000000010253170
CPU(0x00): vcpu->vmcs.host_IDTR_base=0x000000001024e170
CPU(0x00): vcpu->vmcs.host_SYSENTER_ESP=0x0000000000000000
CPU(0x00): vcpu->vmcs.host_SYSENTER_EIP=0x0000000000000000
CPU(0x00): vcpu->vmcs.host_RSP=0x000000001fb0fff8
CPU(0x00): vcpu->vmcs.host_RIP=0x0000000010204c83
CPU(0x00): vcpu->vmcs.host_SYSENTER_CS=0x00000000
CPU(0x00): vcpu->vmcs.host_ES_selector=0x0018
CPU(0x00): vcpu->vmcs.host_CS_selector=0x0008
CPU(0x00): vcpu->vmcs.host_SS_selector=0x0018
CPU(0x00): vcpu->vmcs.host_DS_selector=0x0018
CPU(0x00): vcpu->vmcs.host_FS_selector=0x0018
CPU(0x00): vcpu->vmcs.host_GS_selector=0x0018
CPU(0x00): vcpu->vmcs.host_TR_selector=0x0020
CPU(0x00): vcpu->vmcs.guest_CR0=0x0000000080050033
CPU(0x00): vcpu->vmcs.guest_CR3=0x0000000025338006
CPU(0x00): vcpu->vmcs.guest_CR4=0x00000000000226f0
CPU(0x00): vcpu->vmcs.guest_ES_base=0x0000000000000000
CPU(0x00): vcpu->vmcs.guest_CS_base=0x0000000000000000
CPU(0x00): vcpu->vmcs.guest_SS_base=0x0000000000000000
CPU(0x00): vcpu->vmcs.guest_DS_base=0x0000000000000000
