cmd,xmhf64O3_d1164,xmhf64O3_d1164_virtualbox,xmhf64O3_d1164_vmware,xmhf64O3_d1164_kvm,d1164,d1164_virtualbox,d1164_vmware,d1164_kvm,d1164,xmhf64O3_d1164
cpu run                            ,9087,7890,6846,8669,9076,8987,8877,8955,9073,9094
cpu run --threads=2                ,16588,15438,13140,15849,16589,16448,16363,16469,16583,16613
cpu run --threads=3                ,20521,15626,12451,19546,20526,16465,16407,20435,20508,20567
cpu run --threads=4                ,24481,15576,12250,23054,24455,16461,16388,24290,24516,24490
memory run                         ,47137878,41022668,25798772,40926181,47016286,46019573,45356088,42698866,47089090,46980139
memory run --threads=2             ,75732443,71224935,41575982,66923860,75689287,74983374,73438707,69795035,75704988,75719948
memory run --threads=3             ,84750399,71157657,40467275,77414732,87131386,74989650,74594017,82125028,87691928,87208895
memory run --threads=4             ,100009372,71330819,39909245,89243481,99733659,74282637,74564804,94218211,100954351,99854428
fileio run --file-test-mode=seqrd  ,2309657,93357,35047,82946,2570711,401685,237903,122799,2575530,2295481
fileio run --file-test-mode=seqwr  ,95673,4211,66477,20895,83550,6106,445287,61459,89287,97090
fileio run --file-test-mode=seqrewr,98385,4225,102516,22689,94135,6087,586640,76030,87690,101604
fileio run --file-test-mode=rndrd  ,1707885,10488,6617,14301,2138528,113201,81200,31071,2165228,1724130
fileio run --file-test-mode=rndwr  ,58665,3341,11522,11805,47777,5662,170867,22305,47611,58337
fileio run --file-test-mode=rndrw  ,88384,3370,11855,12649,73084,5831,172905,27808,72173,88566
f_ru:  ,31865,7341,6053,7656,,,,,,31929
f_ru:  ,31787,7125,6543,7487,,,,,,31818
f_ru:  ,31838,7139,6861,7524,,,,,,31835
f_ru:  ,31838,7253,6845,7595,,,,,,31850
f_ru:  ,31946,7289,6029,7511,,,,,,32018
f_rcu: ,25626,6648,5241,6835,,,,,,25643
f_rcu: ,25616,6418,5712,6771,,,,,,25588
f_rcu: ,25613,6539,5896,6920,,,,,,25636
f_rcu: ,25709,6580,6146,6837,,,,,,25677
f_rcu: ,25591,6552,5997,6843,,,,,,25783
f_c:   ,165902,87650,80741,95136,,,,,,166599
f_c:   ,165924,87871,81557,96262,,,,,,166202
f_c:   ,167623,88197,82552,96086,,,,,,165877
f_c:   ,166614,87609,81427,95642,,,,,,165748
f_c:   ,166592,87472,79106,96421,,,,,,166814
