,0,1b,1k,1w,1x,1x_old,2kk,2kw,2xk
cpu run                                 ,8909,8981,8978,8093,9089,9093,8848,7743,8764
memory run                              ,46888462,45739278,42688224,40081338,46955134,47042834,6452508,35559219,41779980
fileio run --file-test-mode=seqrd       ,122911,746983,116409,109903,122623,121815,224102,116519,225870
fileio run --file-test-mode=seqwr       ,90729,26100,41158,228426,93929,94730,12515,17208,11327
fileio run --file-test-mode=seqrewr     ,91112,27013,48229,266135,94346,98229,12874,17892,
fileio run --file-test-mode=rndrd       ,127410,154311,78344,64189,119864,89139,30668,30927,
fileio run --file-test-mode=rndwr       ,46501,21148,17733,98380,57151,58748,6485,10883,
fileio run --file-test-mode=rndrw       ,60647,22772,23188,100601,75012,71459,8080,12227,
f_ru:  ,,,,,31524,31609,,,7702
f_ru:  ,,,,,31733,31656,,,7639
f_ru:  ,,,,,31805,31619,,,7492
f_ru:  ,,,,,31694,31722,,,7730
f_ru:  ,,,,,31657,31628,,,7551
f_rcu: ,,,,,25453,25454,,,6921
f_rcu: ,,,,,25402,25397,,,6777
f_rcu: ,,,,,25517,25454,,,6842
f_rcu: ,,,,,25496,25460,,,6876
f_rcu: ,,,,,25508,25421,,,6888
f_c:   ,,,,,165320,167196,,,95370
f_c:   ,,,,,165180,165369,,,95925
f_c:   ,,,,,167439,167263,,,95549
f_c:   ,,,,,165771,165538,,,95601
f_c:   ,,,,,167619,165539,,,96173
