,0,1b,1k,1w,1x,2bk,2kk,2wk,2xk
CPU,11925,11854,11914,11894,11939,11466,11812,11799,11805
Memory,61022931,41948534,56826574,60708616,61105125,39598063,7279587,56234946,56303230
File read,103761,45040,12510,106106,104150,6044,5881,7862,32399
File write,131602,22837,5965,8037,138707,4369,1456,3461,8014
f_ru,,,,,71992,,,,12032
f_ru,,,,,71856,,,,12072
f_ru,,,,,72066,,,,12072
f_ru,,,,,71929,,,,12013
f_ru,,,,,71878,,,,12035
f_rcu,,,,,39673,,,,10291
f_rcu,,,,,39385,,,,10249
f_rcu,,,,,39904,,,,10248
f_rcu,,,,,40053,,,,10359
f_rcu,,,,,40185,,,,10372
f_c,,,,,288398,,,,201541
f_c,,,,,299121,,,,198719
f_c,,,,,285168,,,,201161
f_c,,,,,292023,,,,203021
f_c,,,,,287462,,,,196770
