cmd,u1232,oldxmhf32O0,xmhf32O0,xmhf32O3,u1232
cpu run                             ,5535,5365,5537,5385,5533
cpu run --threads=2                 ,8964,10098,8944,8953,10124
cpu run --threads=3                 ,13260,13204,13256,13256,13261
cpu run --threads=4                 ,16312,16148,16212,16119,16206
memory run                          ,9534293,9487078,9414423,9420142,9530374
memory run --threads=2              ,17228888,14045986,17011223,16929826,13733293
memory run --threads=3              ,21105130,21230412,20787826,21118522,21239051
memory run --threads=4              ,24768934,24606503,24344017,24489212,25050559
fileio run --file-test-mode=seqrd   ,2040176,1505437,1506700,1502673,2044702
fileio run --file-test-mode=seqwr   ,94770,86322,87036,87027,95301
fileio run --file-test-mode=seqrewr ,99095,90199,90883,90883,99999
fileio run --file-test-mode=rndrd   ,1832755,1270311,1285685,1277749,1826193
fileio run --file-test-mode=rndwr   ,59199,54688,54156,52828,60592
fileio run --file-test-mode=rndrw   ,88122,79568,80362,79496,89118
