cmd,u1232,oldxmhf32O0,xmhf32O0,xmhf32O3,u1232,oldxmhf32O0,xmhf32O0,xmhf32O3,u1232,oldxmhf32O0,xmhf32O0,xmhf32O3
cpu run                             ,5535,5365,5537,5385,5533,5516,5417,5539,5543,5477,5538,5510
cpu run --threads=2                 ,8964,10098,8944,8953,10124,9936,10123,10119,9922,10089,8964,10122
cpu run --threads=3                 ,13260,13204,13256,13256,13261,13221,13257,13250,13261,13201,13257,13264
cpu run --threads=4                 ,16312,16148,16212,16119,16206,15467,16246,16265,16031,16168,16333,15210
memory run                          ,9534293,9487078,9414423,9420142,9530374,9467273,9436205,9389758,9505430,9489233,9440176,9412991
memory run --threads=2              ,17228888,14045986,17011223,16929826,13733293,17125051,16824652,17005097,13847669,13837710,17045206,17062589
memory run --threads=3              ,21105130,21230412,20787826,21118522,21239051,21169106,20800476,20981241,21113208,20931251,20964978,21069569
memory run --threads=4              ,24768934,24606503,24344017,24489212,25050559,25245363,24952244,24706908,24998722,24898027,24760279,24672846
fileio run --file-test-mode=seqrd   ,2040176,1505437,1506700,1502673,2044702,1506246,1514011,1513783,2056202,1502100,1506756,1511685
fileio run --file-test-mode=seqwr   ,94770,86322,87036,87027,95301,90276,86093,86100,94954,86320,86322,92480
fileio run --file-test-mode=seqrewr ,99095,90199,90883,90883,99999,90710,90655,90427,100495,90403,90659,91334
fileio run --file-test-mode=rndrd   ,1832755,1270311,1285685,1277749,1826193,1267568,1280545,1283119,1837905,1263053,1274248,1279525
fileio run --file-test-mode=rndwr   ,59199,54688,54156,52828,60592,54700,54859,54698,60132,54948,55277,53554
fileio run --file-test-mode=rndrw   ,88122,79568,80362,79496,89118,80010,79775,80858,90936,80447,79753,80147
f_ru:  ,,7284,8402,20388,,7218,8541,20570,,,,
f_ru:  ,,8015,8457,20920,,7632,8696,20036,,,,
f_ru:  ,,7932,8588,17795,,7819,8526,19069,,,,
f_ru:  ,,8083,8203,16767,,7459,8490,18852,,,,
f_ru:  ,,8052,8485,16719,,7980,8214,20927,,,,
f_rcu: ,,6964,7394,18416,,6954,7303,16343,,,,
f_rcu: ,,7021,7116,18169,,7050,7440,18092,,,,
f_rcu: ,,7116,7352,18269,,7159,7434,17707,,,,
f_rcu: ,,7164,7198,18147,,7167,7109,17449,,,,
f_rcu: ,,7087,7254,18109,,6972,7300,18142,,,,
f_c:   ,,65262,56806,163309,,64148,56837,161694,,,,
f_c:   ,,64981,56743,162837,,64055,56825,161913,,,,
f_c:   ,,65011,56820,161839,,64087,56551,161940,,,,
f_c:   ,,64930,56809,162019,,64110,56671,161779,,,,
f_c:   ,,64991,56837,161873,,64171,56637,161795,,,,
